,Commodity,Time,Country,Customs Value (Gen) ($US),Customs  Value (Cons) ($US),Dutiable Value ($US),Calculated Duty ($US),Customs Value (Cons) ($US),code,year,month
39439,5210516040 Wv Fb Ct &lt;85% Wgt Ct &lt;200g/m2 Prtd #43-68 Sheet (m2),September 2018,China,672,,0,0,0,5210516040,2018,September
39523,5211202990 Wovn Fab Lt 85% Cot Gt 200g/m2 Blc Othr Fab Nesoi (m2),December 2018,China,728,,0,0,0,5211202990,2018,December
39707,5211510030 Wov Fab Lt 85% Cot Gt 200g/m2 Prt Pl Wv Sht-nt Npd (m2),September 2018,China,3026,,0,0,0,5211510030,2018,September
39916,5212256090 Oth Wov Fab Cot Gt 200g/m2 Print Oth: Oth - Nesoi (m2),March 2018,China,8786,,0,0,0,5212256090,2018,March
39920,5212256090 Oth Wov Fab Cot Gt 200g/m2 Print Oth: Oth - Nesoi (m2),July 2018,China,1881,,0,0,0,5212256090,2018,July
40024,5308901000 Yarn Of Other Veg Textile Fibers; Paper Yarn (kg),December 2018,China,393,,0,0,0,5308901000,2018,December
41774,5407840020 Wov Fab Con Lt 85% Syn Fil Mix W/cot Print Sheet (m2),August 2018,China,11794,,0,0,0,5407840020,2018,August
41793,5407912010 Wov Fabs Of Syn Fila Unbl/bl Mix M/s With Art Fila (m2),January 2018,China,2343,,0,0,0,5407912010,2018,January
43063,5513210040 Wov Fb Syn Lt 85% My Ct Lt=170g/m2 Dyed Py Pw Sht (m2),January 2018,China,5264,,0,0,0,5513210040,2018,January
43064,5513210040 Wov Fb Syn Lt 85% My Ct Lt=170g/m2 Dyed Py Pw Sht (m2),February 2018,China,8530,,0,0,0,5513210040,2018,February
43111,5513290040 Wv Fb Syn Lt 85% Mx Ct Lt=170g/m2 Dyed Owf Chsclh (m2),August 2018,China,3907,,0,0,0,5513290040,2018,August
43166,5513410040 Wov Fb Syn Lt 85% Mx Ct Lt=170g/m2 Prntd P Pw Sht (m2),September 2018,China,9966,,0,0,0,5513410040,2018,September
43190,5514110020 Wv Fb Syn Lt 85% Mx Gt 170g/m2 Ub/bl Py Pw Pl/bc (m2),November 2018,China,33680,,0,0,0,5514110020,2018,November
44039,5516930010 Wov Fab Artif Stp Fib Oth Yr Dif Clrs Blue Denim (m2),June 2018,China,5989,,0,0,0,5516930010,2018,June
45351,5702990500 Textile Carpets Wov No Pile Cot H-lm Made Up (m2),June 2018,China,973,,0,0,0,5702990500,2018,June
48765,"6103220040 M/b Ensembles Of Shorts Of Cotton, Knit (doz)",February 2018,China,68508,,0,0,0,6103220040,2018,February
48766,"6103220040 M/b Ensembles Of Shorts Of Cotton, Knit (doz)",March 2018,China,114433,,0,0,0,6103220040,2018,March
48767,"6103220040 M/b Ensembles Of Shorts Of Cotton, Knit (doz)",April 2018,China,62900,,0,0,0,6103220040,2018,April
